phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1647565200.0,1787429217.9727254,1,0.9816,0.0519,,0.824,0.0367,0.312,NOMINAL,NOMINAL,STALE,0,
1647566100.0,1787429218.0983832,1,1.2145,0.0596,,0.792,0.0313,0.317,NOMINAL,NOMINAL,STALE,0,
1647567000.0,1787429218.2228603,1,1.1637,0.0546,,0.734,0.0281,0.258,NOMINAL,NOMINAL,STALE,0,
1647567900.0,1787429218.3473847,1,0.9473,0.0515,,0.625,0.0227,0.23,NOMINAL,NOMINAL,STALE,0,
1647568800.0,1787429218.4721627,1,0.8905,0.0501,,0.554,0.0219,0.226,NOMINAL,NOMINAL,STALE,0,
1647569700.0,1787429218.597265,1,0.8945,0.0522,,0.616,0.0231,0.25,NOMINAL,NOMINAL,STALE,0,
1647570600.0,1787429218.722075,1,0.7725,0.0524,,0.615,0.0226,0.252,NOMINAL,NOMINAL,STALE,0,
1647571500.0,1787429218.8471227,1,0.8352,0.052,,0.606,0.0236,0.224,NOMINAL,NOMINAL,STALE,0,
1647572400.0,1787429218.9720573,1,0.7935,0.0499,,0.594,0.0228,0.224,NOMINAL,NOMINAL,STALE,0,
1647573300.0,1787429219.0988107,1,1.1982,0.1013,,1.337,0.0341,0.302,NOMINAL,NOMINAL,STALE,0,
1647574200.0,1787429219.2226403,1,1.1251,0.0533,,0.693,0.0269,0.255,NOMINAL,NOMINAL,STALE,0,
1647575100.0,1787429219.3473244,1,0.9052,0.0519,,0.659,0.0279,0.242,NOMINAL,NOMINAL,STALE,0,
1647576000.0,1787429219.472167,1,0.9189,0.0513,,0.547,0.0248,0.228,NOMINAL,NOMINAL,STALE,0,
1647576900.0,1787429219.5971875,1,0.8652,0.0518,,0.612,0.0238,0.273,NOMINAL,NOMINAL,STALE,0,
1647577800.0,1787429219.723472,1,1.2605,0.0591,,0.949,0.0332,0.299,NOMINAL,NOMINAL,STALE,0,
1647578700.0,1787429219.848724,1,1.2609,0.0636,,1.075,0.0335,0.312,NOMINAL,NOMINAL,STALE,0,
1647579600.0,1787429219.9734833,1,1.2308,0.0588,,0.969,0.0314,0.289,NOMINAL,NOMINAL,STALE,0,
1647580500.0,1787429220.0980988,1,1.2026,0.0565,,0.794,0.0325,0.278,NOMINAL,NOMINAL,STALE,0,
1647581400.0,1787429220.222663,1,1.0672,0.0552,,0.687,0.0266,0.268,NOMINAL,NOMINAL,STALE,0,
1647582300.0,1787429220.347369,1,0.9372,0.0516,,0.587,0.0232,0.233,NOMINAL,NOMINAL,STALE,0,
1647583200.0,1787429220.4721997,1,0.9298,0.0534,,0.501,0.0209,0.222,NOMINAL,NOMINAL,STALE,0,
1647584100.0,1787429220.597159,1,0.8793,0.0523,,0.542,0.0215,0.235,NOMINAL,NOMINAL,STALE,0,
1647585000.0,1787429220.722268,1,0.9253,0.0527,,0.561,0.0207,0.236,NOMINAL,NOMINAL,STALE,0,
1647585900.0,1787429220.847305,1,0.8981,0.0516,,0.567,0.0235,0.225,NOMINAL,NOMINAL,STALE,0,
1647586800.0,1787429220.9723365,1,0.9266,0.0517,,0.627,0.0221,0.21,NOMINAL,NOMINAL,STALE,0,
1647587700.0,1787429221.097762,1,1.1128,0.0539,,0.658,0.027,0.238,NOMINAL,NOMINAL,STALE,0,
1647588600.0,1787429221.2224953,1,1.036,0.0528,,0.619,0.0237,0.229,NOMINAL,NOMINAL,STALE,0,
1647589500.0,1787429221.3473094,1,0.904,0.0521,,0.605,0.0223,0.222,NOMINAL,NOMINAL,STALE,0,
1647590400.0,1787429221.4721167,1,0.8927,0.053,,0.505,0.0193,0.211,NOMINAL,NOMINAL,STALE,0,
1647591300.0,1787429221.5971344,1,0.8675,0.0513,,0.545,0.0207,0.234,NOMINAL,NOMINAL,STALE,0,
1647592200.0,1787429221.7222404,1,0.929,0.0511,,0.56,0.021,0.219,NOMINAL,NOMINAL,STALE,0,
1647593100.0,1787429221.8476207,1,0.9895,0.0533,,0.664,0.0252,0.271,NOMINAL,NOMINAL,STALE,0,
1647594000.0,1787429221.972298,1,0.9407,0.0509,,0.573,0.0214,0.222,NOMINAL,NOMINAL,STALE,0,
1647594900.0,1787429222.0976927,1,1.031,0.0534,,0.714,0.0257,0.251,NOMINAL,NOMINAL,STALE,0,
1647595800.0,1787429222.2224977,1,1.0194,0.0526,,0.648,0.023,0.226,NOMINAL,NOMINAL,STALE,0,
1647596700.0,1787429222.3473704,1,0.9404,0.054,,0.619,0.0221,0.223,NOMINAL,NOMINAL,STALE,0,
1647597600.0,1787429222.4721057,1,0.8796,0.0507,,0.522,0.0206,0.213,NOMINAL,NOMINAL,STALE,0,
1647598500.0,1787429222.5971282,1,0.847,0.0508,,0.578,0.0224,0.235,NOMINAL,NOMINAL,STALE,0,
1647599400.0,1787429222.7221973,1,0.8828,0.0515,,0.588,0.0222,0.22,NOMINAL,NOMINAL,STALE,0,
1647600300.0,1787429222.847314,1,0.8803,0.0504,,0.626,0.022,0.226,NOMINAL,NOMINAL,STALE,0,
1647601200.0,1787429222.9723973,1,0.9093,0.0519,,0.658,0.0235,0.232,NOMINAL,NOMINAL,STALE,0,
1647602100.0,1787429223.0984602,1,1.2098,0.0597,,0.836,0.0324,0.39,NOMINAL,NOMINAL,STALE,0,
1647603000.0,1787429223.2228465,1,1.1685,0.0555,,0.733,0.0294,0.26,NOMINAL,NOMINAL,STALE,0,
1647603900.0,1787429223.3475072,1,0.9631,0.0518,,0.634,0.0235,0.305,NOMINAL,NOMINAL,STALE,0,
1647604800.0,1787429223.4724605,1,1.0235,0.0529,,0.585,0.025,0.24,NOMINAL,NOMINAL,STALE,0,
1647605700.0,1787429223.5972826,1,0.924,0.053,,0.602,0.025,0.25,NOMINAL,NOMINAL,STALE,0,
1647606600.0,1787429223.7223155,1,0.9357,0.0504,,0.616,0.0238,0.223,NOMINAL,NOMINAL,STALE,0,
1647607500.0,1787429223.8473744,1,0.9096,0.0544,,0.601,0.0236,0.256,NOMINAL,NOMINAL,STALE,0,
1647608400.0,1787429223.9722695,1,0.887,0.0521,,0.592,0.0237,0.222,NOMINAL,NOMINAL,STALE,0,
1647609300.0,1787429224.098308,1,1.1992,0.0862,,0.864,0.0307,0.302,NOMINAL,NOMINAL,STALE,0,
1647610200.0,1787429224.222979,1,1.1863,0.0559,,0.762,0.0286,0.266,NOMINAL,NOMINAL,STALE,0,
1647611100.0,1787429224.3476522,1,1.0583,0.0532,,0.701,0.0276,0.255,NOMINAL,NOMINAL,STALE,0,
1647612000.0,1787429224.4722402,1,0.9402,0.0528,,0.549,0.0243,0.255,NOMINAL,NOMINAL,STALE,0,
1647612900.0,1787429224.597174,1,0.8563,0.0532,,0.615,0.024,0.245,NOMINAL,NOMINAL,STALE,0,
1647613800.0,1787429224.7222855,1,0.8935,0.0515,,0.653,0.0244,0.247,NOMINAL,NOMINAL,STALE,0,
1647614700.0,1787429224.8472703,1,0.8616,0.0527,,0.63,0.0234,0.226,NOMINAL,NOMINAL,STALE,0,
1647615600.0,1787429224.9721975,1,0.8475,0.0515,,0.612,0.0215,0.227,NOMINAL,NOMINAL,STALE,0,
1647616500.0,1787429225.097227,1,0.8479,0.0488,,0.608,0.0225,0.245,NOMINAL,NOMINAL,STALE,0,
1647617400.0,1787429225.222622,1,1.0021,0.0513,,0.732,0.0261,0.246,NOMINAL,NOMINAL,STALE,0,
1647618300.0,1787429225.3472185,1,0.8406,0.0501,,0.639,0.0239,0.233,NOMINAL,NOMINAL,STALE,0,
1647619200.0,1787429225.4720817,1,0.829,0.053,,0.56,0.0223,0.231,NOMINAL,NOMINAL,STALE,0,
1647620100.0,1787429225.5971725,1,0.8463,0.0502,,0.623,0.0231,0.258,NOMINAL,NOMINAL,STALE,0,
1647621000.0,1787429225.7220926,1,0.7763,0.0518,,0.621,0.0225,0.223,NOMINAL,NOMINAL,STALE,0,
1647621900.0,1787429225.8471873,1,0.7963,0.0516,,0.639,0.0242,0.23,NOMINAL,NOMINAL,STALE,0,
1647622800.0,1787429225.9720256,1,0.7656,0.0501,,0.622,0.021,0.222,NOMINAL,NOMINAL,STALE,0,
1647623700.0,1787429226.097646,1,0.9892,0.0542,,0.728,0.0285,0.258,NOMINAL,NOMINAL,STALE,0,
1647624600.0,1787429226.222629,1,1.0097,0.0527,,0.706,0.0272,0.272,NOMINAL,NOMINAL,STALE,0,
1647625500.0,1787429226.347341,1,0.9017,0.0512,,0.648,0.0264,0.242,NOMINAL,NOMINAL,STALE,0,
1647626400.0,1787429226.4722393,1,0.902,0.0528,,0.558,0.0227,0.236,NOMINAL,NOMINAL,STALE,0,
1647627300.0,1787429226.597298,1,0.8963,0.0506,,0.642,0.024,0.259,NOMINAL,NOMINAL,STALE,0,
1647628200.0,1787429226.7222404,1,0.8938,0.0506,,0.632,0.0229,0.229,NOMINAL,NOMINAL,STALE,0,
1647629100.0,1787429226.8477185,1,1.0003,0.0533,,0.707,0.0268,0.293,NOMINAL,NOMINAL,STALE,0,
1647630000.0,1787429226.972407,1,0.9491,0.0527,,0.648,0.026,0.248,NOMINAL,NOMINAL,STALE,0,
1647630900.0,1787429227.0974066,1,0.9036,0.0521,,0.673,0.0251,0.245,NOMINAL,NOMINAL,STALE,0,
1647631800.0,1787429227.2226062,1,0.9704,0.0525,,0.723,0.0274,0.277,NOMINAL,NOMINAL,STALE,0,
1647632700.0,1787429227.347352,1,0.9063,0.0515,,0.624,0.0249,0.239,NOMINAL,NOMINAL,STALE,0,
1647633600.0,1787429227.4721878,1,0.8858,0.0514,,0.54,0.0216,0.233,NOMINAL,NOMINAL,STALE,0,
1647634500.0,1787429227.597198,1,0.8585,0.0507,,0.603,0.023,0.256,NOMINAL,NOMINAL,STALE,0,
1647635400.0,1787429227.7223206,1,0.9233,0.0514,,0.632,0.0229,0.234,NOMINAL,NOMINAL,STALE,0,
1647636300.0,1787429227.8473797,1,0.9028,0.052,,0.65,0.0235,0.238,NOMINAL,NOMINAL,STALE,0,
1647637200.0,1787429227.9723797,1,0.9405,0.0535,,0.623,0.0232,0.238,NOMINAL,NOMINAL,STALE,0,
1647638100.0,1787429228.0983655,1,1.2058,0.0643,,0.841,0.0301,0.293,NOMINAL,NOMINAL,STALE,0,
1647639000.0,1787429228.222921,1,1.1677,0.0543,,0.733,0.0269,0.272,NOMINAL,NOMINAL,STALE,0,
1647639900.0,1787429228.347633,1,1.0687,0.0541,,0.628,0.0257,0.247,NOMINAL,NOMINAL,STALE,0,
1647640800.0,1787429228.4722517,1,0.9677,0.0528,,0.5,0.0196,0.211,NOMINAL,NOMINAL,STALE,0,
1647641700.0,1787429228.5972328,1,0.8953,0.0517,,0.611,0.0405,0.249,NOMINAL,NOMINAL,STALE,0,
1647642600.0,1787429228.722241,1,0.9173,0.0514,,0.603,0.0224,0.23,NOMINAL,NOMINAL,STALE,0,
1647643500.0,1787429228.8473814,1,0.9328,0.0534,,0.636,0.0234,0.255,NOMINAL,NOMINAL,STALE,0,
1647644400.0,1787429228.972214,1,0.8743,0.051,,0.595,0.0217,0.226,NOMINAL,NOMINAL,STALE,0,
1647645300.0,1787429229.098323,1,1.2055,0.1029,,0.868,0.032,0.299,NOMINAL,NOMINAL,STALE,0,
1647646200.0,1787429229.222587,1,1.076,0.054,,0.681,0.0268,0.252,NOMINAL,NOMINAL,STALE,0,
1647647100.0,1787429229.3477929,1,1.0651,0.0553,,0.729,0.0289,0.264,NOMINAL,NOMINAL,STALE,0,
1647648000.0,1787429229.4740057,1,0.9908,0.156,0.5447,0.563,0.0264,0.252,NOMINAL,NOMINAL,NORMAL,0,
1647648900.0,1787429229.5974832,1,1.0138,0.1389,,0.647,0.0267,0.241,NOMINAL,NOMINAL,NORMAL,0,
1647649800.0,1787429229.7224572,1,0.9653,0.1301,,0.64,0.0262,0.238,NOMINAL,NOMINAL,NORMAL,0,
1647650700.0,1787429229.8474414,1,0.9319,0.131,,0.621,0.0249,0.232,NOMINAL,NOMINAL,NORMAL,0,
1647651600.0,1787429229.9724069,1,0.9252,0.1262,,0.628,0.0242,0.232,NOMINAL,NOMINAL,NORMAL,0,
1647652500.0,1787429230.0973492,1,0.8895,0.1297,,0.646,0.0241,0.231,NOMINAL,NOMINAL,TRIGGERED,1,omni_p6
1647653400.0,1787429230.2221982,1,0.8339,0.1257,,0.61,0.0232,0.239,NOMINAL,NOMINAL,TRIGGERED,2,omni_p6
1647654300.0,1787429230.3476765,1,0.9781,0.1334,,0.706,0.0262,0.255,NOMINAL,NOMINAL,NORMAL,0,
1647655200.0,1787429230.4722037,1,0.8472,0.122,,0.587,0.023,0.228,NOMINAL,NOMINAL,NORMAL,0,
1647656100.0,1787429230.597945,1,1.1095,0.1394,,0.793,0.0294,0.27,NOMINAL,NOMINAL,NORMAL,0,
1647657000.0,1787429230.7223368,1,0.9221,0.1228,,0.608,0.025,0.233,NOMINAL,NOMINAL,NORMAL,0,
1647657900.0,1787429230.8474474,1,0.9272,0.1259,,0.62,0.0225,0.229,NOMINAL,NOMINAL,TRIGGERED,1,omni_p6
1647658800.0,1787429230.9723294,1,0.8996,0.1253,,0.591,0.0216,0.223,NOMINAL,NOMINAL,TRIGGERED,2,omni_p6
1647659700.0,1787429231.0980885,1,1.1528,0.1425,,0.723,0.0283,0.274,NOMINAL,NOMINAL,NORMAL,0,
1647660600.0,1787429231.2225983,1,1.041,0.1349,,0.644,0.0244,0.231,NOMINAL,NOMINAL,NORMAL,0,
1647661500.0,1787429231.3477066,1,1.01,0.131,,0.661,0.0255,0.283,NOMINAL,NOMINAL,NORMAL,0,
1647662400.0,1787429231.4723032,1,0.9417,0.1288,,0.532,0.018,0.211,NOMINAL,NOMINAL,NORMAL,0,
1647663300.0,1787429231.597183,1,0.8987,0.1254,,0.513,0.0181,0.22,NOMINAL,NOMINAL,NORMAL,0,
1647664200.0,1787429231.7222238,1,0.9175,0.1209,,0.521,0.0174,0.206,NOMINAL,NOMINAL,NORMAL,0,
1647665100.0,1787429231.847608,1,0.9659,0.13,,0.667,0.0256,0.246,NOMINAL,NOMINAL,NORMAL,0,
1647666000.0,1787429231.9724386,1,0.9442,0.1262,,0.625,0.0222,0.229,NOMINAL,NOMINAL,NORMAL,0,
1647666900.0,1787429232.0974355,1,0.9271,0.1279,,0.615,0.0215,0.237,NOMINAL,NOMINAL,NORMAL,0,
1647667800.0,1787429232.2223372,1,0.9341,0.1259,,0.592,0.0217,0.223,NOMINAL,NOMINAL,NORMAL,0,
1647668700.0,1787429232.3477464,1,1.0253,0.1323,,0.704,0.0272,0.251,NOMINAL,NOMINAL,NORMAL,0,
1647669600.0,1787429232.4725223,1,1.0039,0.1349,,0.606,0.0242,0.243,NOMINAL,NOMINAL,NORMAL,0,
1647670500.0,1787429232.5973294,1,0.9244,0.1281,,0.61,0.0229,0.233,NOMINAL,NOMINAL,NORMAL,0,
1647671400.0,1787429232.7222962,1,0.9166,0.1267,,0.587,0.0213,0.22,NOMINAL,NOMINAL,NORMAL,0,
1647672300.0,1787429232.847404,1,0.9074,0.1279,,0.604,0.0243,0.227,NOMINAL,NOMINAL,NORMAL,0,
1647673200.0,1787429232.9724505,1,0.9153,0.1273,,0.652,0.024,0.235,NOMINAL,NOMINAL,NORMAL,0,
1647674100.0,1787429233.098409,1,1.2005,0.1583,,0.742,0.0266,0.385,NOMINAL,NOMINAL,NORMAL,0,
1647675000.0,1787429233.2230527,1,1.1348,0.1411,,0.703,0.0277,0.494,NOMINAL,NOMINAL,TRIGGERED,1,omni_p6
1647675900.0,1787429233.3480647,1,1.0791,0.1378,,0.703,0.0266,0.482,NOMINAL,NOMINAL,NORMAL,0,
1647676800.0,1787429233.473185,1,1.04,0.133,,1.249,0.0255,0.26,NOMINAL,NOMINAL,NORMAL,0,
1647677700.0,1787429233.597498,1,0.9542,0.1276,,0.616,0.0251,0.34,NOMINAL,NOMINAL,NORMAL,0,
1647678600.0,1787429233.7225125,1,0.958,0.1259,,0.609,0.0245,0.349,NOMINAL,NOMINAL,NORMAL,0,
1647679500.0,1787429233.8472755,1,0.723,0.0406,,0.625,0.0199,0.341,NOMINAL,NOMINAL,STALE,0,
1647680400.0,1787429233.9722133,1,0.7185,0.0399,,0.612,0.0183,0.332,NOMINAL,NOMINAL,STALE,0,
1647681300.0,1787429234.0980136,1,0.9146,0.0438,,0.828,0.0272,0.411,NOMINAL,NOMINAL,STALE,0,
1647682200.0,1787429234.222191,1,0.7534,0.0392,,0.699,0.0216,0.235,NOMINAL,NOMINAL,STALE,0,
1647683100.0,1787429234.3470938,1,0.6757,0.0391,,0.628,0.0221,0.222,NOMINAL,NOMINAL,STALE,0,
1647684000.0,1787429234.4722164,1,0.8085,0.0417,,0.584,0.0224,0.234,NOMINAL,NOMINAL,STALE,0,
1647684900.0,1787429234.597174,1,0.7587,0.0401,,0.578,0.0206,0.264,NOMINAL,NOMINAL,STALE,0,
1647685800.0,1787429234.7220867,1,0.7754,0.0422,,0.558,0.0215,0.215,NOMINAL,NOMINAL,STALE,0,
1647686700.0,1787429234.8469656,1,0.6649,0.0399,,0.569,0.0197,0.206,NOMINAL,NOMINAL,STALE,0,
1647687600.0,1787429234.9719825,1,0.701,0.0406,,0.561,0.0195,0.206,NOMINAL,NOMINAL,STALE,0,
1647688500.0,1787429235.097036,1,0.7022,0.0412,,0.579,0.0199,0.207,NOMINAL,NOMINAL,STALE,0,
1647689400.0,1787429235.2220004,1,0.6971,0.0404,,0.571,0.019,0.203,NOMINAL,NOMINAL,STALE,0,
1647690300.0,1787429235.3470778,1,0.7012,0.0388,,0.59,0.0231,0.235,NOMINAL,NOMINAL,STALE,0,
1647691200.0,1787429235.4722795,1,0.8262,0.0414,,0.594,0.0244,0.236,NOMINAL,NOMINAL,STALE,0,
1647692100.0,1787429235.5971365,1,0.7553,0.0417,,0.574,0.0205,0.237,NOMINAL,NOMINAL,STALE,0,
1647693000.0,1787429235.7220075,1,0.7119,0.041,,0.556,0.0194,0.204,NOMINAL,NOMINAL,STALE,0,
1647693900.0,1787429235.8471239,1,0.7361,0.0403,,0.58,0.0214,0.214,NOMINAL,NOMINAL,STALE,0,
1647694800.0,1787429235.9720087,1,0.7225,0.041,,0.548,0.0211,0.211,NOMINAL,NOMINAL,STALE,0,
1647695700.0,1787429236.097273,1,0.7823,0.0411,,0.626,0.0235,0.256,NOMINAL,NOMINAL,STALE,0,
1647696600.0,1787429236.2220218,1,0.7209,0.0411,,0.548,0.02,0.217,NOMINAL,NOMINAL,STALE,0,
1647697500.0,1787429236.3470778,1,0.7028,0.0403,,0.571,0.0218,0.229,NOMINAL,NOMINAL,STALE,0,
1647698400.0,1787429236.4722085,1,0.7699,0.0399,,0.597,0.0225,0.245,NOMINAL,NOMINAL,STALE,0,
1647699300.0,1787429236.5970087,1,0.7226,0.0418,,0.561,0.0226,0.217,NOMINAL,NOMINAL,STALE,0,
1647700200.0,1787429236.72198,1,0.7066,0.0414,,0.555,0.0198,0.2,NOMINAL,NOMINAL,STALE,0,
1647701100.0,1787429236.847213,1,0.7693,0.0413,,0.599,0.0242,0.22,NOMINAL,NOMINAL,STALE,0,
1647702000.0,1787429236.9721003,1,0.7475,0.0405,,0.564,0.0316,0.227,NOMINAL,NOMINAL,STALE,0,
1647702900.0,1787429237.0970457,1,0.731,0.0408,,0.561,0.0186,0.205,NOMINAL,NOMINAL,STALE,0,
1647703800.0,1787429237.222046,1,0.6993,0.0415,,0.566,0.0198,0.23,NOMINAL,NOMINAL,STALE,0,
1647704700.0,1787429237.3470669,1,0.7167,0.0395,,0.564,0.0209,0.204,NOMINAL,NOMINAL,STALE,0,
1647705600.0,1787429237.4721649,1,0.7696,0.0403,,0.587,0.0229,0.221,NOMINAL,NOMINAL,STALE,0,
1647706500.0,1787429237.597041,1,0.7391,0.0396,,0.567,0.0219,0.211,NOMINAL,NOMINAL,STALE,0,
1647707400.0,1787429237.7219932,1,0.7194,0.0395,,0.538,0.0193,0.202,NOMINAL,NOMINAL,STALE,0,
1647708300.0,1787429237.84697,1,0.6997,0.0413,,0.537,0.0191,0.203,NOMINAL,NOMINAL,STALE,0,
1647709200.0,1787429237.9720066,1,0.7004,0.0383,,0.584,0.0199,0.213,NOMINAL,NOMINAL,STALE,0,
1647710100.0,1787429238.098037,1,0.9366,0.0467,,0.909,0.0279,0.275,NOMINAL,NOMINAL,STALE,0,
1647711000.0,1787429238.2223682,1,0.8827,0.0428,,0.622,0.0227,0.23,NOMINAL,NOMINAL,STALE,0,
1647711900.0,1787429238.3472002,1,0.7801,0.0408,,0.589,0.0207,0.221,NOMINAL,NOMINAL,STALE,0,
1647712800.0,1787429238.472371,1,0.8446,0.0415,,0.641,0.023,0.229,NOMINAL,NOMINAL,STALE,0,
1647713700.0,1787429238.5971625,1,0.7753,0.0392,,0.596,0.0227,0.235,NOMINAL,NOMINAL,STALE,0,
1647714600.0,1787429238.7221143,1,0.7808,0.0395,,0.558,0.0219,0.222,NOMINAL,NOMINAL,STALE,0,
1647715500.0,1787429238.8471327,1,0.7586,0.0392,,0.549,0.0211,0.233,NOMINAL,NOMINAL,STALE,0,
1647716400.0,1787429238.9720364,1,0.7319,0.0395,,0.551,0.0203,0.203,NOMINAL,NOMINAL,STALE,0,
1647717300.0,1787429239.097901,1,0.9156,0.0437,,0.852,0.0264,0.269,NOMINAL,NOMINAL,STALE,0,
1647718200.0,1787429239.2221253,1,0.7827,0.0392,,0.576,0.0191,0.203,NOMINAL,NOMINAL,STALE,0,
1647719100.0,1787429239.3472588,1,0.7902,0.0398,,0.604,0.0226,0.23,NOMINAL,NOMINAL,STALE,0,
1647720000.0,1787429239.4718466,1,0.6748,0.0406,,0.522,0.0202,0.204,NOMINAL,NOMINAL,STALE,0,
1647720900.0,1787429239.5972536,1,0.7774,0.0418,,0.622,0.0238,0.25,NOMINAL,NOMINAL,STALE,0,
1647721800.0,1787429239.7220497,1,0.7581,0.0396,,0.559,0.0214,0.205,NOMINAL,NOMINAL,STALE,0,
1647722700.0,1787429239.8470883,1,0.7179,0.0408,,0.581,0.0205,0.204,NOMINAL,NOMINAL,STALE,0,
1647723600.0,1787429239.9721065,1,0.7426,0.039,,0.588,0.0215,0.213,NOMINAL,NOMINAL,STALE,0,
1647724500.0,1787429240.0969958,1,0.7054,0.0397,,0.556,0.0212,0.201,NOMINAL,NOMINAL,STALE,0,
1647725400.0,1787429240.221984,1,0.6843,0.0402,,0.581,0.0191,0.201,NOMINAL,NOMINAL,STALE,0,
1647726300.0,1787429240.3470275,1,0.6956,0.0389,,0.564,0.0192,0.206,NOMINAL,NOMINAL,STALE,0,
1647727200.0,1787429240.4719818,1,0.7349,0.0398,,0.521,0.0207,0.212,NOMINAL,NOMINAL,STALE,0,
1647728100.0,1787429240.5971963,1,0.765,0.0403,,0.597,0.0225,0.266,NOMINAL,NOMINAL,STALE,0,
1647729000.0,1787429240.7223554,1,1.0272,0.0405,,0.556,0.0203,0.245,NOMINAL,NOMINAL,STALE,0,
1647729900.0,1787429240.8469827,1,0.7085,0.0431,,0.53,0.0196,0.197,NOMINAL,NOMINAL,STALE,0,
1647730800.0,1787429240.9719656,1,0.6953,0.0397,,0.542,0.0217,0.215,NOMINAL,NOMINAL,STALE,0,
1647731700.0,1787429241.0972936,1,0.8002,0.0419,,0.623,0.0236,0.255,NOMINAL,NOMINAL,STALE,0,
1647732600.0,1787429241.2220516,1,0.7644,0.0418,,0.547,0.0222,0.205,NOMINAL,NOMINAL,STALE,0,
1647733500.0,1787429241.347036,1,0.7222,0.0403,,0.545,0.0188,0.199,NOMINAL,NOMINAL,STALE,0,
1647734400.0,1787429241.4725661,1,0.7154,0.0405,0.5364,0.554,0.0197,0.21,NOMINAL,NOMINAL,STALE,0,
1647735300.0,1787429241.5973206,1,0.8128,0.0416,,0.668,0.0243,0.227,NOMINAL,NOMINAL,STALE,0,
1647736200.0,1787429241.7221963,1,0.8173,0.0422,,0.588,0.0228,0.213,NOMINAL,NOMINAL,STALE,0,
1647737100.0,1787429241.847062,1,0.7489,0.0416,,0.536,0.0215,0.209,NOMINAL,NOMINAL,STALE,0,
1647738000.0,1787429241.9723427,1,0.8188,0.0415,,0.637,0.0231,0.231,NOMINAL,NOMINAL,STALE,0,
1647738900.0,1787429242.0971377,1,0.7645,0.0408,,0.572,0.0213,0.223,NOMINAL,NOMINAL,STALE,0,
1647739800.0,1787429242.2220967,1,0.7693,0.0409,,0.559,0.0208,0.205,NOMINAL,NOMINAL,STALE,0,
1647740700.0,1787429242.347054,1,0.724,0.0403,,0.56,0.02,0.202,NOMINAL,NOMINAL,STALE,0,
1647741600.0,1787429242.471919,1,0.7056,0.0403,,0.523,0.0211,0.199,NOMINAL,NOMINAL,STALE,0,
1647742500.0,1787429242.5972111,1,0.7454,0.0388,,0.624,0.025,0.272,NOMINAL,NOMINAL,STALE,0,
1647743400.0,1787429242.722063,1,0.7566,0.0393,,0.557,0.0212,0.223,NOMINAL,NOMINAL,STALE,0,
1647744300.0,1787429242.8471239,1,0.7413,0.0403,,0.577,0.0214,0.207,NOMINAL,NOMINAL,STALE,0,
1647745200.0,1787429242.9720516,1,0.7129,0.0388,,0.569,0.0212,0.239,NOMINAL,NOMINAL,STALE,0,
1647746100.0,1787429243.0980437,1,0.9591,0.0441,,0.883,0.0274,0.292,NOMINAL,NOMINAL,STALE,0,
1647747000.0,1787429243.2225063,1,0.9034,0.0429,,0.688,0.0251,0.239,NOMINAL,NOMINAL,STALE,0,
1647747900.0,1787429243.3473167,1,0.8074,0.0432,,0.616,0.0218,0.229,NOMINAL,NOMINAL,STALE,0,
1647748800.0,1787429243.4720392,1,0.7637,0.0412,,0.531,0.0208,0.207,NOMINAL,NOMINAL,STALE,0,
1647749700.0,1787429243.59738,1,0.8135,0.044,,0.692,0.0238,0.253,NOMINAL,NOMINAL,STALE,0,
1647750600.0,1787429243.7220385,1,0.6958,0.0376,,0.572,0.0216,0.222,NOMINAL,NOMINAL,STALE,0,
1647751500.0,1787429243.847074,1,0.7113,0.0398,,0.59,0.0215,0.214,NOMINAL,NOMINAL,STALE,0,
1647752400.0,1787429243.972033,1,0.7191,0.0396,,0.574,0.0196,0.215,NOMINAL,NOMINAL,STALE,0,
1647753300.0,1787429244.0978441,1,0.9048,0.0437,,0.832,0.0282,0.277,NOMINAL,NOMINAL,STALE,0,
1647754200.0,1787429244.222175,1,0.7721,0.0419,,0.603,0.0233,0.223,NOMINAL,NOMINAL,STALE,0,
1647755100.0,1787429244.3470683,1,0.6805,0.0383,,0.599,0.0235,0.222,NOMINAL,NOMINAL,STALE,0,
1647756000.0,1787429244.4719782,1,0.7337,0.0396,,0.526,0.0202,0.213,NOMINAL,NOMINAL,STALE,0,
1647756900.0,1787429244.597213,1,0.7543,0.0408,,0.624,0.0224,0.266,NOMINAL,NOMINAL,STALE,0,
1647757800.0,1787429244.7220821,1,0.8259,0.0404,,0.524,0.0194,0.201,NOMINAL,NOMINAL,STALE,0,
1647758700.0,1787429244.8471131,1,0.7283,0.041,,0.535,0.0212,0.243,NOMINAL,NOMINAL,STALE,0,
1647759600.0,1787429244.9720356,1,0.7238,0.0396,,0.541,0.0202,0.207,NOMINAL,NOMINAL,STALE,0,
1647760500.0,1787429245.0971718,1,0.7281,0.0394,,0.601,0.0201,0.234,NOMINAL,NOMINAL,STALE,0,
1647761400.0,1787429245.2219229,1,0.6551,0.0402,,0.534,0.0194,0.201,NOMINAL,NOMINAL,STALE,0,
1647762300.0,1787429245.3469727,1,0.698,0.0402,,0.52,0.0199,0.195,NOMINAL,NOMINAL,STALE,0,
